id,value
"产业战略,,,",1
"产业战略,关键内容,,",1
"产业战略,关键内容,发展战略,",1
"产业战略,关键内容,发展战略,产业集聚",1
"产业战略,关键内容,发展战略,功能定位",1
"产业战略,关键内容,发展战略,开发模式",1
"产业战略,关键内容,发展战略,运作机制",1
"产业战略,关键内容,发展定位,",1
"产业战略,关键内容,发展定位,发展方向",1
"产业战略,关键内容,发展定位,产业定位",1
"产业战略,关键内容,发展定位,功能定位",1
"产业战略,关键内容,发展定位,目标客户选择",1
"产业战略,关键内容,发展定位,管控机制研究",1
"产业战略,关键内容,产业定位,",1
"产业战略,关键内容,产业定位,产业结构优化升级",1
"产业战略,关键内容,产业定位,园区比较优势",1
"产业战略,关键内容,产业定位,区域产业链分工协作",1
"产业战略,关键内容,产业定位,细分领域",1
"产业战略,关键内容,产业定位,产业招商",1
"产业战略,关键内容,产业布局,",1
"产业战略,关键内容,产业布局,空间承载力",1
"产业战略,关键内容,产业布局,特色集聚",1
"产业战略,关键内容,产业布局,功能分区",1
"产业战略,关键内容,产业升级,",1
"产业战略,关键内容,产业升级,支柱产业优化升级",1
"产业战略,关键内容,产业升级,园区经济增长点培养",1
"产业战略,关键内容,产业升级,产业链优化",1
"产业战略,关键内容,经营管理,",1
"产业战略,关键内容,经营管理,管理体制",1
"产业战略,关键内容,经营管理,产业招商",1
"产业战略,关键内容,经营管理,品牌经营",1
"产业战略,关键内容,经营管理,孵化支持",1
"产业战略,关键内容,经营管理,产业投资",1
"产业战略,关键思路,,",1
"产业战略,关键思路,外部环境,",1
"产业战略,关键思路,外部环境,产业发展环境",1
"产业战略,关键思路,外部环境,行业发展前景",1
"产业战略,关键思路,外部环境,政策导向",1
"产业战略,关键思路,内部资源,",1
"产业战略,关键思路,内部资源,内部资源优势",1
"产业战略,关键思路,内部资源,内部资源劣势",1
"产业战略,关键思路,内部资源,产业现状和资源能力",1
"产业战略,关键思路,内部资源,产业与周边竞争态势",1
"产业战略,关键思路,产业定位,",1
"产业战略,关键思路,产业定位,确定主导产业",1
"产业战略,关键思路,产业定位,确定产业组合方案",1
"产业战略,关键思路,产业定位,确定辅助产业",1
"产业战略,关键思路,产业空间,",1
"产业战略,关键思路,产业空间,产业发展策略",1
"产业战略,关键思路,产业空间,空间布局策略",1
"产业战略,关键思路,园区配套,",1
"产业战略,关键思路,园区配套,招商策略",1
"产业战略,关键思路,园区配套,运营管理策略",1
"产业战略,关键思路,园区配套,增值服务策略",1
"产业战略,关键思路,园区配套,投融资策略",1
"产业战略,关键元素,,",1
"产业战略,关键元素,宏观环境,",1
"产业战略,关键元素,宏观环境,全球及中国经济",1
"产业战略,关键元素,宏观环境,地区商业环境",1
"产业战略,关键元素,宏观环境,政策",1
"产业战略,关键元素,宏观环境,环境状况",1
"产业战略,关键元素,宏观环境,生态",1
"产业战略,关键元素,宏观环境,社会经济",1
"产业战略,关键元素,微观环境,",1
"产业战略,关键元素,微观环境,市场需求",1
"产业战略,关键元素,微观环境,资源",1
"产业战略,关键元素,微观环境,地区能源问题",1
"产业战略,关键元素,微观环境,产业技术",1
"产业战略,关键元素,微观环境,产业结构",1
"产业战略,关键元素,微观环境,利益相关者概况",1
