id,parentId,dep,
驱动因子,,1,
宏观环境,驱动因子,2,
区域经济,宏观环境,3,
经济形势,区域经济,4,
国际贸易,区域经济,4,
行业产能,区域经济,4,
行业趋势,区域经济,4,
原料,区域经济,4,
能源价格,区域经济,4,
汇率,区域经济,4,
营商环境,宏观环境,3,
经济及结构,营商环境,4,
商业氛围,营商环境,4,
投资热点,营商环境,4,
行业特点,营商环境,4,
行业发展趋势,营商环境,4,
政策,宏观环境,3,
法律法规,政策,4,
政策导向,政策,4,
国家行业政策,政策,4,
贸易政策,政策,4,
责任机制,政策,4,
监管的核心及方式,政策,4,
仲裁制度,政策,4,
环境状况,宏观环境,3,
水质,环境状况,4,
污水处理能力,环境状况,4,
废气处理能力,环境状况,4,
全球环境问题,环境状况,4,
全球变暖问题,环境状况,4,
生态,宏观环境,3,`
循环利用,生态,4,
自然与物种,生态,4,
环境保护,生态,4,
生态保护政策,生态,4,
社会经济,宏观环境,3,
人口统计数据,社会经济,4,
劳动力,社会经济,4,
教育,社会经济,4,
公共服务,社会经济,4,
就业,社会经济,4,
社会价值观,社会经济,4,
发展趋势,社会经济,4,
微观环境,驱动因子,2,
市场需求,微观环境,3,
原料,市场需求,4,
产品,市场需求,4,
进出口,市场需求,4,
消费者,市场需求,4,
家庭,市场需求,4,
产品质量,市场需求,4,
生活方式成本,市场需求,4,
资源,微观环境,3,
区位,资源,4,
土地资源,资源,4,
人力资源,资源,4,
交通物流,资源,4,
基础设施配套,资源,4,
地区原料数量,资源,4,
成本,资源,4,
地区产能,资源,4,
原料供应商及出口,资源,4,
能源问题,微观环境,3,
水、电供应,能源问题,4,
天然气,能源问题,4,
成本,能源问题,4,
产业技术,微观环境,4,
制造技术,产业技术,4,
废物管理及处理技术,产业技术,4,
效率及工艺产量,产业技术,4,
监控技术,产业技术,4,
组织技术,产业技术,4,
回收利用技术,产业技术,4,
创新能力,产业技术,4,
产业结构,微观环境,3,
资本充足性,产业结构,4,
地区产业结构,产业结构,4,
产业发展现状,产业结构,4,
产业发展趋势,产业结构,4,
地区制造能力,产业结构,4,
地区比较竞争优势,产业结构,4,
对外投资,产业结构,4,
特色产业,产业结构,4,
联盟,产业结构,4,
利益相关者概况,微观环境,3,
政府,利益相关者概况,4,
消费者,利益相关者概况,4,
投资者,利益相关者概况,4,
媒体,利益相关者概况,4,
工会,利益相关者概况,4,
附近社区,利益相关者概况,4,
